"local_path","source_type","original_source_url","author_or_uploader","license_or_permission_basis","modified","review_status"
"assets/images/items/fish/fire-eel.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/gastropod-shell.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/gemfish.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/golden-wahoo.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/green-barb.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/greenfish.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/icefish.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/jellyfish.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/pufferfish.png","minecraft-wiki","https://minecraft.wiki/w/File:Pufferfish_(item)_JE5_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/fish/purple-firefish.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/rosy-barb.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/salmon.png","minecraft-wiki","https://minecraft.wiki/w/File:Raw_Salmon_JE2_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/fish/shrimp.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/slimefish.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/starfish.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/stingray.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/sunfish.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/token.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/trash-battery.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/trash-dirty-sock.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/trash-metal-can.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/trash-plastic-bottle.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/trash-rope.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/tropical-fish.png","minecraft-wiki","https://minecraft.wiki/w/File:Wild_Tropical_Fish_Variants.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/fish/trout.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/fish/tuna.png","castiamc-origin","","","permission-pending","unknown","permission-pending"
"assets/images/items/resource/ancient-debris.png","minecraft-wiki","https://minecraft.wiki/w/File:Ancient_Debris_JE1_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/beacon.png","minecraft-wiki","https://minecraft.wiki/w/File:Beacon_JE6_BE2.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/blaze-powder.png","minecraft-wiki","https://minecraft.wiki/w/File:Blaze_Powder_JE2_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
"assets/images/items/resource/blaze-rod.png","minecraft-wiki","https://minecraft.wiki/w/File:Blaze_Rod_JE1_BE1.png","","probable Mojang asset; Minecraft Usage Guidelines review needed","unknown","source-recovered"
